% 1. Title: Webscrape Database
% 
% 2. Sources:
%      (a) Avtor: Tadej Tomažin
%      (b) Podatki: https://www.avto.net/
%      (c) Datum: Januar, 2020
%
% 3. Instances: 200, all unique

@relation avtomobili

@attribute 'letnikAvto' numeric
@attribute 'nazivAvta' string
@attribute 'tehnicniPregled' string
@attribute 'prevozeniKilometri' numeric
@attribute 'barva' {bela,'svetlo modra','bordo rdeča metalik',modra,'svetlo siva','zelena metalik','svetlo modra metalik',svetlo siva metalik,'modra metalik','temno modra','beige metalik','rjava metalik','svetlo siva metalik','oranžna metalik','temno siva metalik','temno modra metalik','rdeča metalik',rdeča,'siva metalik','srebrna metalik','temno siva','temno zelena metalik','črna metalik','zlata metalik',srebrna,'bela metalik',črna}
@attribute 'cena' numeric
@attribute 'vrstaGoriva' {diesel_motor, bencinski_motor, elektro_pogon, hibridni_pogon}
@attribute 'oblikaAvta' string

@data
2015,'BMW i3 AVT. KAMERA-NAVI PROF.',?,28000,'bela metalik',18980,elektro_pogon,'kombilimuzina / hatchback, 5 vr.'
2014,'Audi A4 Avant 2.0 TDI ultra NAVI ALU PDC',6/2020,143000,'rjava metalik',11990,diesel_motor,'karavan, 5 vr.'
2014,'Citroen Berlingo 1.6 HDI',7/2021,180000,bela,7770,diesel_motor,'enoprostorec / van, 5 vr.'
2017,'Lexus NX 300h-NAVI-USNJE-PANORAMA',5/2020,18000,bela,30500,hibridni_pogon,'terensko vozilo / SUV, 5 vr.'
2009,'Land Rover Freelander 2 2.2 TD4',2009,250000,'temno siva metalik',5999,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2016,'Dacia Sandero 1.2 16V Life',?,52800,modra,5400,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2017,'Volkswagen Golf Variant 1.6 TDI BMT Comfortline DSG',?,148647,srebrna,13299,diesel_motor,'karavan, 5 vr.'
2016,'Audi A4 Avant 2.0 TDI Sport MATRIX',?,191495,'bela metalik',16450,diesel_motor,'karavan, 5 vr.'
2018,'Ford Focus 1.0 EB Trend Edition BUSINESS',11/2022,19672,'modra metalik',18990,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2003,'Smart fortwo',8/2020,200000,?,1850,bencinski_motor,'kombilimuzina / hatchback, 3 vr.'
2006,'BMW serija X3: 3.0d NAVI.XSEN.PDC',11/2020,270000,'srebrna metalik',5100,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2004,'Peugeot 307 Break XS 2.0 HDi 90',1/2021,279000,metalik,1850,diesel_motor,'karavan, 5 vr.'
2012,'Volkswagen Passat 2.0 TDI-DSG-PANORAMA-NAVI-F1-PDC',12/2020,252000,'črna metalik',7790,diesel_motor,'karavan, 5 vr.'
2011,'Peugeot 308 CC Sport Pack 2.0 HDi',2/2020,116380,'črna metalik',9090,diesel_motor,'cabriolet, 2 vr.'
2005,'Renault Clio 1.2 16V Expression Confort',6/2020,198000,'srebrna metalik',2350,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2000,'Mercedes-Benz E-Razred E 220 CDI Classic',7/2020,265000,?,2250,diesel_motor,'limuzina, 4 vr.'
2016,'Audi A6 Avant 2.0 TDI 191KM S-Tronic S-Line',7/2020,148400,'temno siva metalik',22444,diesel_motor,'karavan, 5 vr.'
2006,'BMW serija 3: 320i Touring',?,280000,'črna metalik',4000,bencinski_motor,'karavan, 5 vr.'
2006,'Renault Grand Scenic 1.6 16V Dynamique Confort',5/2020,242000,'modra metalik',2250,bencinski_motor,'enoprostorec / van, 5 vr.'
2015,'Opel Corsa Active 1.4 16V',1/2021,56000,'siva metalik',6950,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2002,'Renault Kangoo G2002 Expression 1.2 16V',8/2020,242000,bela,1150,bencinski_motor,'enoprostorec / van, 5 vr.'
?,'BMW serija X2: xDrive 18d',?,?,bela,39990,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2017,'Mercedes-Benz E-Razred E 220 d Avantgarde',?,48853,'srebrna metalik',32665,diesel_motor,'limuzina, 4 vr.'
2009,'Volkswagen CrossTouran 1.4 TSI Adventure',?,197555,'svetlo siva metalik',4990,bencinski_motor,'enoprostorec / van, 5 vr.'
2018,'Mercedes-Benz E-Razred E Cabrio 200-LED-F1-NAVI-KAM',8/2021,14000,'bela metalik',45000,bencinski_motor,'cabriolet, 2 vr.'
2004,'Audi A3 1.9 TDI Attraction',1/2020,278000,'črna metalik',3199,diesel_motor,'kombilimuzina / hatchback, 3 vr.'
2011,'Audi A6 2.0 TDI-BI-XENON-TEMPOMAT',8/2020,255000,črna,12900,diesel_motor,'limuzina, 4 vr.'
2005,'Mitsubishi Colt 1.1 Invite',1/2021,76000,metalik,2250,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2007,'Lancia Ypsilon 1.4i16V Argento Gloria',11/2007,157232,'svetlo modra metalik',1799,bencinski_motor,'kombilimuzina / hatchback, 3 vr.'
1979,'Mercedes-Benz W123 300d 5-st. menjalnik',10/2020,345000,bela,2790,diesel_motor,'limuzina, 4 vr.'
2010,'Peugeot 3008 Premium 1.6 HDi FAP',?,330000,?,3100,diesel_motor,'enoprostorec / van, 5 vr.'
2008,'Ford Focus Karavan 1.6 TDCi Trend',3/2020,201612,srebrna,2650,diesel_motor,'karavan, 5 vr.'
2003,'BMW serija 5: 530d-XENON',3/2019,270000,'črna metalik',3600,diesel_motor,'limuzina, 4 vr.'
2005,'Mercedes-Benz ML-Razred FINALY EDITION',10/2020,345732,'srebrna metalik',5500,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2013,'Audi A4 2.0 TDI+S LINE+XENON',5/2020,178000,'črna metalik',12950,diesel_motor,'karavan, 5 vr.'
2014,'Audi A3 Sportback 2.0 TDI-SPORT',5/2020,140000,?,11850,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2016,'Kia Picanto 1.0 LX Urban',4/2020,37200,'bela metalik',6799,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2011,'Renault Kangoo Style 1.5 dCi 90',4/2020,223000,bela,4800,diesel_motor,'enoprostorec / van, 5 vr.'
2010,'Volkswagen Touareg BlueMotion Tech. 3.0 V6 TDI Tiptronic',11/2020,257000,'črna metalik',19700,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2004,'Mercedes-Benz E-Razred E 200 CDI Classic',9/2020,?,'srebrna metalik',3350,diesel_motor,'limuzina, 4 vr.'
2018,'Seat Leon 2.0 TDI FR Start Stop',?,48000,bela,?,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2008,'Mini Clubman Mini Cooper S',7/2020,124100,'temno siva',7390,bencinski_motor,'karavan, 5 vr.'
2013,'Audi A4 2.0 TDI-1 LASTNIK-XENON+L-POLOG',5/2020,215000,'zlata metalik',12850,diesel_motor,'limuzina, 4 vr.'
2004,'Smart forfour passion 1.5',1/2020,212000,'srebrna metalik',1200,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
